extract_date,specimen_date,number_tested,number_confirmed,number_hospitalized,number_deaths,specimen_date_dt
2020-08-26T00:00:00.000,2020-04-24T00:00:00.000,9587,2531,511,173,2020-04-24
2020-08-26T00:00:00.000,2020-04-02T00:00:00.000,9402,5812,1902,717,2020-04-02
2020-08-26T00:00:00.000,2020-07-03T00:00:00.000,11681,220,27,3,2020-07-03
2020-08-26T00:00:00.000,2020-03-22T00:00:00.000,4413,2686,945,287,2020-03-22
2020-08-26T00:00:00.000,2020-04-11T00:00:00.000,6939,3681,1103,398,2020-04-11
2020-08-26T00:00:00.000,2020-07-23T00:00:00.000,16188,252,19,0,2020-07-23
2020-08-26T00:00:00.000,2020-03-05T00:00:00.000,63,5,25,1,2020-03-05
2020-08-26T00:00:00.000,2020-06-13T00:00:00.000,9145,190,27,2,2020-06-13
2020-08-26T00:00:00.000,2020-05-07T00:00:00.000,11240,1299,173,48,2020-05-07
2020-08-26T00:00:00.000,2020-03-21T00:00:00.000,4765,2723,834,269,2020-03-21
2020-08-26T00:00:00.000,2020-06-29T00:00:00.000,21871,423,29,7,2020-06-29
2020-08-26T00:00:00.000,2020-05-31T00:00:00.000,6753,225,36,9,2020-05-31
2020-08-26T00:00:00.000,2020-06-01T00:00:00.000,16846,626,57,9,2020-06-01
2020-08-26T00:00:00.000,2020-04-01T00:00:00.000,8474,5508,1742,743,2020-04-01
2020-08-26T00:00:00.000,2020-08-04T00:00:00.000,11281,145,12,1,2020-08-04
2020-08-26T00:00:00.000,2020-08-02T00:00:00.000,6514,100,18,3,2020-08-02
2020-08-26T00:00:00.000,2020-05-05T00:00:00.000,11259,1552,191,60,2020-05-05
2020-08-26T00:00:00.000,2020-04-16T00:00:00.000,9554,3546,857,294,2020-04-16
2020-08-26T00:00:00.000,2020-03-01T00:00:00.000,1,0,0,0,2020-03-01
2020-08-26T00:00:00.000,2020-06-06T00:00:00.000,8643,250,31,6,2020-06-06
2020-08-26T00:00:00.000,2020-08-20T00:00:00.000,15846,140,13,0,2020-08-20
2020-08-26T00:00:00.000,2020-05-09T00:00:00.000,5336,642,113,29,2020-05-09
2020-08-26T00:00:00.000,2020-04-21T00:00:00.000,9761,3075,627,231,2020-04-21
2020-08-26T00:00:00.000,2020-03-31T00:00:00.000,7958,5522,1912,784,2020-03-31
2020-08-26T00:00:00.000,2020-06-25T00:00:00.000,17451,256,27,2,2020-06-25
2020-08-26T00:00:00.000,2020-07-12T00:00:00.000,8395,201,16,3,2020-07-12
2020-08-26T00:00:00.000,2020-04-06T00:00:00.000,10957,6393,1980,794,2020-04-06
2020-08-26T00:00:00.000,2020-02-05T00:00:00.000,1,0,1,0,2020-02-05
2020-08-26T00:00:00.000,2020-03-26T00:00:00.000,7321,5128,1756,624,2020-03-26
